Income,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance
21.551,420,5,51,18, Male,No,Yes,Asian,907
27.847,418,2,78,15,Female,No,Yes,Caucasian,822
16.103,418,4,45,10,Female,No,Yes,Caucasian,945
18.701,415,5,64,7,Female,No,No,Asian,966
34.142,413,4,47,5,Female,No,Yes,Caucasian,863
16.304,413,4,66,10, Male,No,Yes,Asian,957
20.974,413,5,44,16,Female,No,Yes,Caucasian,1000
26.813,411,4,55,16,Female,No,No,Caucasian,915
15.079,411,4,28,15,Female,No,Yes,Asian,1075
34.909,410,2,62,16,Female,No,Yes,Caucasian,681
39.055,410,4,48,18,Female,No,Yes,Caucasian,772
49.794,410,4,40,8, Male,No,No,Caucasian,734
24.824,409,1,33,9, Male,Yes,No,Caucasian,1352
23.283,407,4,49,13, Male,No,Yes,African American,912
56.256,406,2,72,16,Female,Yes,Yes,Caucasian,1020
42.357,406,2,83,12,Female,No,Yes,Asian,653
85.425,402,6,60,12, Male,No,Yes,African American,218
48.218,401,7,39,10, Male,No,Yes,Asian,633
64.027,398,5,48,8, Male,No,Yes,African American,411
23.883,398,2,73,16,Female,No,Yes,African American,802
26.4,398,3,58,15,Female,No,No,Asian,905
29.567,397,3,25,15, Male,No,No,Caucasian,799
23.375,396,3,57,15,Female,No,Yes,Caucasian,844
80.616,394,1,57,7,Female,No,Yes,Asian,204
44.205,394,1,32,12, Male,No,Yes,Caucasian,607
57.337,392,2,45,7,Female,No,No,Caucasian,456
12.456,392,3,65,14, Male,No,Yes,Caucasian,955
51.872,390,4,81,17,Female,No,No,Caucasian,531
48.577,389,3,71,13,Female,No,Yes,Asian,503
16.479,388,2,26,16, Male,No,No,African American,937
60.579,388,5,38,15, Male,No,Yes,Asian,443
19.636,387,3,64,10,Female,No,No,African American,710
33.214,387,3,59,9, Male,No,No,African American,661
16.711,387,3,42,16,Female,No,Yes,Asian,863
27.825,386,6,63,11, Male,No,Yes,Caucasian,823
55.187,385,4,50,17,Female,No,Yes,Caucasian,538
23.949,383,2,40,18, Male,No,Yes,African American,829
39.422,383,2,44,19, Male,No,No,African American,637
67.937,383,4,63,12, Male,No,Yes,Asian,345
55.412,383,2,37,16,Female,Yes,Yes,Caucasian,1003
46.102,382,3,81,12, Male,No,Yes,African American,516
26.162,382,3,62,19,Female,No,No,African American,710
12.238,381,5,67,11,Female,No,No,Caucasian,836
11.187,380,4,69,16,Female,No,No,African American,889
27.999,380,1,55,10, Male,No,Yes,Caucasian,651
51.532,380,2,31,15, Male,No,Yes,Caucasian,481
40.885,379,3,46,13,Female,No,Yes,African American,549
25.124,378,4,29,12, Male,No,Yes,Caucasian,657
53.401,377,3,35,12,Female,No,No,African American,541
62.328,377,3,83,15, Male,No,No,Caucasian,380
41.365,377,1,45,14, Male,No,No,Caucasian,606
19.531,376,2,64,16,Female,Yes,Yes,Asian,1241
36.362,376,3,49,15, Male,No,Yes,African American,654
61.62,374,1,71,9, Male,No,Yes,Caucasian,302
57.1,372,7,79,18,Female,No,Yes,Asian,379
24.919,372,3,76,11,Female,No,Yes,African American,711
17.055,371,3,55,15,Female,No,Yes,Caucasian,805
38.954,370,4,76,13,Female,No,No,Caucasian,653
65.896,370,1,49,17,Female,No,Yes,Caucasian,293
40.442,369,5,81,8,Female,No,No,African American,510
42.529,369,2,37,11, Male,No,Yes,Asian,489
33.694,369,1,52,16, Male,Yes,No,African American,1036
29.4,368,3,76,18,Female,No,Yes,Caucasian,588
76.273,367,4,65,14,Female,No,Yes,Caucasian,133
14.312,367,1,59,17, Male,Yes,No,Asian,1380
25.383,367,4,46,11, Male,No,Yes,Caucasian,570
19.349,366,1,33,19, Male,No,Yes,Caucasian,717
15.846,365,4,53,12,Female,No,No,Caucasian,745
59.855,365,1,46,13,Female,No,Yes,Caucasian,295
35.51,364,2,35,20,Female,No,No,Asian,631
17.765,364,1,66,12,Female,No,Yes,Caucasian,732
53.217,362,2,46,16,Female,No,Yes,Asian,382
15.741,360,1,39,14, Male,No,Yes,Asian,689
88.83,360,4,86,16,Female,No,Yes,Caucasian,15
10.842,358,5,37,10,Female,Yes,Yes,Caucasian,1216
55.882,357,2,68,16, Male,No,Yes,Caucasian,331
22.939,355,1,47,18,Female,No,Yes,Asian,663
21.786,355,1,50,17, Male,No,Yes,Caucasian,580
43.479,354,4,49,13, Male,Yes,Yes,African American,902
35.864,353,3,66,13,Female,No,Yes,Caucasian,534
16.751,353,6,48,14, Male,Yes,No,Asian,1255
41.532,353,2,50,12, Male,No,Yes,Caucasian,531
15.56,352,4,57,8, Male,No,Yes,African American,579
44.061,352,1,79,11, Male,No,Yes,African American,414
44.158,351,2,66,13,Female,No,Yes,Asian,385
24.23,351,2,64,15,Female,No,Yes,Caucasian,594
44.978,347,1,30,10,Female,No,No,Caucasian,436
23.672,344,3,63,11, Male,No,No,Caucasian,503
92.112,344,3,32,17, Male,No,No,Caucasian,0
76.348,344,4,60,18, Male,No,No,Asian,108
27.512,344,5,72,17, Male,No,Yes,Asian,573
12.335,344,3,79,12, Male,No,Yes,African American,611
41.868,342,2,47,18, Male,No,No,Caucasian,425
19.529,341,2,51,14, Male,No,No,Asian,642
69.165,341,2,34,11,Female,No,No,African American,156
68.462,340,2,71,16, Male,No,Yes,Caucasian,136
36.496,339,3,69,15,Female,No,Yes,Asian,368
14.887,339,3,58,12, Male,No,Yes,African American,724
30.111,339,1,81,18, Male,No,Yes,Caucasian,347
23.989,338,4,31,15, Male,No,No,Caucasian,601
31.811,338,5,75,13,Female,No,Yes,Caucasian,429
41.025,337,3,79,19,Female,No,Yes,Caucasian,246
80.861,335,3,29,15,Female,No,Yes,Asian,0
32.793,333,2,44,16, Male,No,No,African American,467
14.956,332,2,33,6, Male,No,No,Asian,681
20.405,329,2,72,17, Male,Yes,No,Asian,1054
14.09,326,5,25,16,Female,No,Yes,African American,671
58.351,326,2,85,16,Female,No,Yes,Caucasian,126
39.145,323,2,66,13, Male,No,Yes,Caucasian,308
10.793,321,8,29,13, Male,No,No,Caucasian,638
55.054,321,3,74,17, Male,No,Yes,Asian,188
57.872,321,5,67,12,Female,No,Yes,Caucasian,138
44.646,320,2,49,15, Male,Yes,Yes,Caucasian,797
12,320,4,28,14,Female,No,Yes,Caucasian,602
51.345,320,3,46,15, Male,No,No,African American,230
24.889,318,4,75,12, Male,No,Yes,Caucasian,357
53.48,317,1,83,15, Male,No,No,Caucasian,99
28.316,316,2,29,10,Female,No,No,Caucasian,453
30.42,316,1,30,14,Female,No,No,African American,450
54.663,314,2,70,8,Female,No,No,African American,75
10.403,310,3,43,7, Male,No,Yes,Asian,571
36.472,309,2,52,13, Male,No,No,African American,188
12.096,307,3,32,13, Male,No,Yes,Caucasian,560
50.699,304,2,84,17,Female,No,No,African American,69
58.063,304,3,50,8, Male,No,No,African American,118
39.705,301,2,27,20, Male,No,Yes,African American,211
27.794,301,4,35,8,Female,No,Yes,African American,320
11.795,300,4,25,10,Female,No,No,Caucasian,531
36.934,299,1,63,9,Female,No,Yes,Caucasian,283
30.413,299,2,25,15,Female,Yes,No,Asian,728
13.234,299,2,77,17,Female,No,Yes,Caucasian,426
75.406,298,3,41,14,Female,No,Yes,Asian,0
41.192,297,3,54,16,Female,No,Yes,Caucasian,121
10.588,296,1,66,13,Female,No,Yes,Caucasian,465
10.852,296,2,30,9, Male,No,No,Caucasian,485
14.479,296,3,43,16, Male,No,Yes,Caucasian,463
13.364,296,5,65,17, Male,No,No,African American,480
10.635,294,5,69,16, Male,No,Yes,Asian,423
19.782,293,2,46,16,Female,Yes,No,Caucasian,840
22.379,292,2,34,14,Female,No,Yes,Asian,384
12.068,292,1,44,18,Female,No,Yes,Asian,413
12.581,291,2,48,16, Male,No,Yes,Caucasian,474
42.471,289,6,44,12,Female,Yes,No,Caucasian,654
31.335,289,3,38,7,Female,No,No,Caucasian,172
27.369,288,3,40,9,Female,No,Yes,Caucasian,162
28.508,287,4,56,14, Male,No,Yes,Asian,336
24.088,287,4,56,13,Female,No,Yes,Caucasian,309
45.12,287,3,80,8, Male,No,Yes,Caucasian,70
19.253,287,4,57,10, Male,No,No,African American,371
53.598,286,3,73,17,Female,No,Yes,African American,0
14.891,283,2,34,11, Male,No,Yes,Caucasian,333
27.229,282,6,51,11, Male,No,No,Caucasian,265
14.292,282,9,64,9, Male,No,Yes,Caucasian,382
10.354,281,2,70,17, Male,No,Yes,Caucasian,333
23.793,281,4,56,12,Female,Yes,Yes,African American,868
10.735,280,2,44,17,Female,No,Yes,Caucasian,410
13.561,279,5,37,19, Male,No,Yes,Asian,297
18.145,279,3,56,15, Male,No,Yes,African American,255
36.355,278,4,35,9, Male,No,Yes,Asian,187
60.449,272,4,69,8, Male,No,Yes,Caucasian,0
29.725,270,2,52,15,Female,No,No,African American,133
24.314,270,2,23,7,Female,No,Yes,Caucasian,194
19.144,269,2,75,13,Female,No,No,African American,148
16.482,268,4,41,15, Male,No,No,Caucasian,271
26.37,268,5,78,11, Male,No,Yes,Asian,159
28.474,267,5,66,12, Male,No,Yes,Caucasian,132
15.125,266,5,66,13,Female,No,No,Caucasian,279
26.067,266,4,74,17,Female,No,Yes,African American,155
19.588,265,4,59,14,Female,No,No,Asian,199
13.647,264,4,47,14, Male,No,Yes,Caucasian,344
39.11,263,3,72,12, Male,No,No,Asian,0
27.952,263,1,35,13,Female,No,Yes,Asian,163
23.793,263,2,70,14, Male,No,No,African American,216
29.705,262,5,71,14,Female,No,Yes,Asian,148
21.011,261,2,68,17, Male,No,Yes,African American,182
14.595,260,5,37,9, Male,No,Yes,African American,204
20.996,259,2,37,12,Female,No,No,African American,203
12.031,259,2,58,18,Female,No,Yes,Caucasian,210
57.202,259,3,72,11,Female,No,No,Caucasian,0
44.473,257,3,81,16,Female,No,No,African American,8
23.106,257,2,50,15,Female,No,No,Caucasian,209
21.153,256,1,41,11, Male,No,No,Caucasian,298
21.238,254,3,59,10,Female,No,No,Caucasian,108
34.95,253,3,54,14,Female,No,No,African American,50
20.936,253,1,30,15,Female,No,No,Asian,145
14.132,251,4,75,17, Male,No,No,Caucasian,133
30.622,251,1,68,16, Male,Yes,No,Caucasian,532
34.537,250,3,57,17,Female,No,Yes,Asian,47
30.733,249,4,51,13, Male,No,No,Caucasian,0
54.319,248,3,59,8,Female,Yes,No,Caucasian,269
38.009,245,3,45,15,Female,No,No,African American,0
24.543,243,2,62,12,Female,No,Yes,Caucasian,95
36.295,241,2,68,14,Female,Yes,No,African American,375
26.532,236,6,58,19,Female,No,Yes,Caucasian,52
25.078,236,2,27,15,Female,No,Yes,Caucasian,81
17.7,235,4,63,16,Female,No,No,Asian,89
55.056,235,2,31,16, Male,No,Yes,African American,0
53.319,235,3,53,13, Male,No,No,Asian,0
43.54,232,4,69,11, Male,No,No,Caucasian,0
10.503,232,3,25,18,Female,No,Yes,African American,191
28.575,231,2,60,11,Female,No,No,African American,0
27.59,229,5,54,16, Male,No,Yes,African American,0
17.392,228,3,32,14, Male,No,Yes,Caucasian,68
33.017,224,2,28,16, Male,No,Yes,African American,29
32.164,223,2,79,15,Female,No,Yes,African American,0
31.029,223,2,66,17, Male,Yes,Yes,Asian,415
24.05,221,4,32,18, Male,No,Yes,Caucasian,0
23.35,220,3,49,12,Female,Yes,No,Caucasian,419
27.47,219,1,32,11,Female,No,Yes,Asian,0
15.866,217,1,39,13, Male,No,No,Caucasian,136
15.476,215,3,60,18, Male,No,No,Asian,52
41.4,215,2,36,14, Male,No,Yes,Caucasian,0
35.691,214,2,35,15, Male,No,No,African American,0
53.308,214,1,84,10, Male,No,Yes,Caucasian,0
20.103,213,3,61,10, Male,No,Yes,African American,0
28.941,210,5,43,16, Male,No,Yes,Asian,0
30.132,206,3,52,17, Male,No,No,Caucasian,0
44.522,205,6,72,15, Male,No,Yes,Asian,0
42.915,205,4,42,13, Male,No,Yes,Asian,0
20.791,204,1,70,18,Female,No,No,African American,0
13.676,203,5,80,16,Female,No,No,African American,0
20.089,200,3,57,15,Female,No,Yes,African American,0
20.15,199,2,25,14,Female,No,Yes,Asian,0
25.974,196,2,24,10, Male,No,No,Asian,0
27.578,195,1,34,15,Female,No,Yes,Caucasian,0
29.564,192,1,30,12,Female,No,Yes,Caucasian,0
15.184,192,2,69,11,Female,No,Yes,Caucasian,0
37.728,192,1,44,13, Male,No,Yes,Caucasian,0
10.363,191,2,47,18,Female,No,Yes,Asian,0
17.976,190,3,70,16,Female,Yes,No,Caucasian,431
34.509,189,5,80,18,Female,No,Yes,African American,0
36.364,188,3,50,19, Male,No,No,Caucasian,0
39.609,188,1,40,14, Male,No,Yes,Asian,0
11.603,187,3,71,11, Male,No,Yes,Caucasian,0
35.177,186,3,62,16,Female,No,No,Caucasian,0
15.629,186,1,60,14, Male,No,Yes,Asian,0
41.419,184,4,24,11,Female,Yes,No,Caucasian,156
36.142,183,3,33,13,Female,No,No,African American,0
11.741,182,4,59,12,Female,No,No,Asian,0
30.406,181,2,79,14, Male,No,Yes,African American,0
23.45,180,2,78,13, Male,No,No,Caucasian,0
20.088,180,3,76,16, Male,No,No,African American,0
29.403,178,1,37,14,Female,No,Yes,Caucasian,0
21.374,175,2,74,11,Female,No,Yes,Caucasian,0
27.039,173,3,40,17,Female,No,No,Caucasian,0
39.116,173,4,75,15, Male,No,No,Caucasian,0
15.354,171,2,65,14, Male,No,No,Asian,0
27.349,169,4,51,16,Female,No,Yes,African American,0
34.772,167,3,57,9, Male,No,No,Asian,0
23.365,167,2,75,15, Male,No,No,Asian,0
14.711,167,2,67,6, Male,No,Yes,Caucasian,0
24.46,165,2,50,14,Female,No,Yes,Asian,0
31.367,162,4,30,10, Male,No,Yes,Caucasian,0
10.726,162,5,46,19, Male,No,Yes,Asian,0
30.682,160,2,77,7,Female,No,No,Caucasian,0
31.353,160,3,81,14, Male,No,Yes,Caucasian,0
10.742,156,3,57,15,Female,No,No,Caucasian,0
18.967,156,2,41,11,Female,No,Yes,Asian,0
30.002,155,4,70,13,Female,No,Yes,Caucasian,0
32.916,154,2,60,8,Female,No,Yes,Asian,0
23.857,150,3,56,16, Male,No,Yes,Caucasian,0
10.627,149,2,71,10,Female,Yes,Yes,Asian,195
27.272,149,5,67,10,Female,No,Yes,Caucasian,0
22.561,147,4,66,15,Female,No,No,Caucasian,0
21.038,145,2,58,13,Female,No,Yes,Caucasian,0
19.537,143,4,34,9,Female,No,Yes,Asian,0
25.988,142,4,82,12, Male,No,No,Caucasian,0
18.036,142,2,48,15,Female,No,No,Caucasian,0
28.144,142,3,51,10, Male,No,Yes,Caucasian,0
15.045,138,3,64,16, Male,No,No,Caucasian,0
15.333,138,2,47,9,Female,No,Yes,Asian,0
17.316,138,2,65,13, Male,No,No,African American,0
23.012,137,3,81,16, Male,No,No,Caucasian,0
30.012,137,2,33,17, Male,No,Yes,Caucasian,0
25.936,135,2,71,14,Female,No,No,Asian,0
22.574,134,3,43,13,Female,Yes,Yes,Caucasian,98
18.951,129,3,82,13,Female,No,No,Caucasian,0
27.241,128,2,67,15,Female,No,Yes,Asian,0
20.918,128,3,47,18,Female,Yes,Yes,Asian,16
16.279,126,3,78,13, Male,Yes,Yes,African American,5
16.529,126,3,62,9, Male,No,No,Asian,0
19.225,122,3,38,14,Female,No,No,Caucasian,0
13.444,121,5,44,10, Male,No,Yes,Asian,0
14.084,120,5,46,17,Female,No,Yes,African American,0
12.414,119,3,32,12, Male,No,Yes,African American,0
11.808,117,3,77,14,Female,No,No,African American,0
16.819,115,2,74,15, Male,No,Yes,Asian,0
13.433,112,3,70,14, Male,No,Yes,Caucasian,0
15.602,103,2,36,11, Male,No,Yes,African American,0
15.717,93,1,38,16, Male,Yes,Yes,Caucasian,0
